usahawanid,namasyarikat,nodaftarssm,tahunmulaoperasi,bilanganpekerja,alamat1_ssm,alamat2_ssm,alamat3_ssm
C00540,CHENOR,CT0009864-K,2015,1,,"MARAN, 28100","MARAN, PAHANG"
C00541,MARAN,CA 0140030-A,2018,1,,"MARAN, 26500","MARAN, PAHANG"
C00542,CHENOR,CT0063131-X,2018,1,,"MARAN, 28100","MARAN, PAHANG"
C00543,CHENOR,CT0068921-D,2018,1,,"MARAN, 28100","MARAN, PAHANG"
C00544,CHENOR,CT0006699-X,2010,2,,"MARAN, 28100","MARAN, PAHANG"
C00545,MARAN,CT0011867-T,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00546,CHENOR,CT0039012-K,2010,2,,"MARAN, 28100","MARAN, PAHANG"
C00547,CHENOR,CT0044679-V,2015,2,,"MARAN, 28100","MARAN, PAHANG"
C00548,MARAN,CT 0048201-V,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00549,MARAN,CT0055438-V,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00550,MARAN,CT0062829-P,2018,3,,"MARAN, 26500","MARAN, PAHANG"
C00551,MARAN,CA 0125408,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00552,MARAN,CT 0032702-M,2019,2,,"MARAN, 26500","MARAN, PAHANG"
C00553,MARAN,CT 0073023-P,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00554,CHENOR,CT0067749-V,2010,2,,"MARAN, 28100","MARAN, PAHANG"
C00555,CHENOR,CA0124989-A,2015,1,,"MARAN, 28100","MARAN, PAHANG"
C00556,CHENOR,CT0030239-T,2017,1,,"MARAN, 28100","MARAN, PAHANG"
C00557,CHENOR,CT0032012-W,2016,4,,"MARAN, 28100","MARAN, PAHANG"
C00558,MARAN,CT0039897-K,2019,1,,"MARAN, 26500","MARAN, PAHANG"
C00559,MARAN,CT00986453-M,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00560,CHENOR,CT0067908-W,2019,1,,"MARAN, 28100","MARAN, PAHANG"
C00561,MARAN,CT0003883-X,2015,1,,"MARAN, 26500","MARAN, PAHANG"
C00562,CHENOR,CT0069623-H,2019,1,,"MARAN, 28100","MARAN, PAHANG"
C00563,CHENOR,CT0015267-M,2006,6,,"MARAN, 28100","MARAN, PAHANG"
C00564,MARAN,CA 00220999-X,2019,,,"MARAN, 26500","MARAN, PAHANG"
C00565,CHENOR,CT0063375-U,2015,3,,"MARAN, 28100","MARAN, PAHANG"
C00566,CHENOR,CA846256-M,2005,10,,"MARAN, 28100","MARAN, PAHANG"
C00567,CHENOR,CT0051205-T,2017,1,,"MARAN, 28100","MARAN, PAHANG"
C00568,MARAN,CA 0092299-A,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00569,MARAN,CT0026466X,2019,2,,"MARAN, 26500","MARAN, PAHANG"
C00570,CHENOR,CT0008181-K,2012,4,,"MARAN, 28100","MARAN, PAHANG"
C00571,MARAN,CT 002243567-P,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00572,CHENOR,CT0043176-D,2000,1,,"MARAN, 28100","MARAN, PAHANG"
C00573,CHENOR,CT0025949-K,2006,1,,"MARAN, 28100","MARAN, PAHANG"
C00574,MARAN,CA 126516W,2020,,,"MARAN, 26500","MARAN, PAHANG"
C00575,CHENOR,CT0002524-X,2017,1,,"MARAN, 28100","MARAN, PAHANG"
C00576,MARAN,CA 0259724K,2019,1,,"MARAN, 26500","MARAN, PAHANG"
C00577,MARAN,CT0032905-V,2017,3,,"MARAN, 26500","MARAN, PAHANG"
C00578,CHENOR,CT0054879-X,2000,2,,"MARAN, 28100","MARAN, PAHANG"
C00580,CHENOR,003036410-D,2019,1,,"MARAN, 28100","MARAN, PAHANG"
C00581,MARAN,CT 0014479K,2019,3,,"MARAN, 26500","MARAN, PAHANG"
C00582,CHENOR,CT0040448-W,2014,2,,"MARAN, 28100","MARAN, PAHANG"
C00583,CHENOR,CA0113827-V,2010,3,,"MARAN, 28100","MARAN, PAHANG"
C00584,CHENOR,CT0035670-X,2013,2,,"MARAN, 28100","MARAN, PAHANG"
C00585,CHENOR,SA0509401-H,2014,2,,"MARAN, 28100","MARAN, PAHANG"
C00586,CHENOR,CT0063801-V,2010,1,,"MARAN, 28100","MARAN, PAHANG"
C00587,MARAN,CT 0015267-M,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00588,CHENOR,CT0065039-X,2018,1,,"MARAN, 28100","MARAN, PAHANG"
C00589,CHENOR,CA0124989-A,2014,2,,"MARAN, 28100","MARAN, PAHANG"
C00590,MARAN,CA 0190578-W,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00591,CHENOR,CA0141870-U,2010,2,,"MARAN, 28100","MARAN, PAHANG"
C00592,CHENOR,CT0063720-V,2017,1,,"MARAN, 28100","MARAN, PAHANG"
C00593,CHENOR,CT0049068-K,2017,2,,"MARAN, 28100","MARAN, PAHANG"
C00594,MARAN,CA0117546T,2019,1,,"MARAN, 26500","MARAN, PAHANG"
C00595,MARAN,CT0054030-K,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00596,MARAN,CA0018920-M,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00598,MARAN,CT0066766-P,2020,2,,"MARAN, 26500","MARAN, PAHANG"
C00599,MARAN,CT0061863-T,2019,4,,"MARAN, 26500","MARAN, PAHANG"
C00600,MARAN,CA 0012390-M,2019,1,,"MARAN, 26500","MARAN, PAHANG"
C00601,CHENOR,CT0068784-K,2019,1,,"MARAN, 28100","MARAN, PAHANG"
C00602,CHENOR,CT0058019-P,2014,1,,"MARAN, 28100","MARAN, PAHANG"
C00603,MARAN,CA0248407-P,2018,1,,"MARAN, 26500","MARAN, PAHANG"
C00604,MARAN,CA 0119829-T,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00605,CHENOR,CTOO60274 -H,2017,2,,"MARAN, 28100","MARAN, PAHANG"
C00606,MARAN,CT0055282P,2020,3,,"MARAN, 26500","MARAN, PAHANG"
C00607,MARAN,CT0066270H,2020,2,,"MARAN, 26500","MARAN, PAHANG"
C00608,CHENOR,CT0020248-K,2010,4,,"MARAN, 28100","MARAN, PAHANG"
C00609,CHENOR,CT0039386-A,2015,1,,"MARAN, 28100","MARAN, PAHANG"
C00610,CHENOR,CT0056495-P,2018,3,,"MARAN, 28100","MARAN, PAHANG"
C00611,MARAN,CT 0035003M,2018,2,,"MARAN, 26500","MARAN, PAHANG"
C00612,MARAN,CT0017396K,2018,1,,"MARAN, 26500","MARAN, PAHANG"
C00613,MARAN,CT 00542723-P,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00614,CHENOR,CT0049417-P,2012,2,,"MARAN, 28100","MARAN, PAHANG"
C00615,MARAN,CT 0042203M,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00616,CHENOR,CT 0030381-A,2010,1,,"MARAN, 28100","MARAN, PAHANG"
C00617,MARAN,CT00555755-U,2019,1,,"MARAN, 26500","MARAN, PAHANG"
C00618,MARAN,CA 0078730-P,2018,1,,"MARAN, 26500","MARAN, PAHANG"
C00619,CHENOR,CT0006310-A,2010,3,,"MARAN, 28100","MARAN, PAHANG"
C00620,MARAN,CT0069670 M,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00621,MARAN,CA0048699-U,2020,2,,"MARAN, 26500","MARAN, PAHANG"
C00622,CHENOR,CT0014183-M,2010,1,,"MARAN, 28100","MARAN, PAHANG"
C00623,MARAN,CA0169369-T,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00624,MARAN,CT 0063697-U,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00625,CHENOR,CT0049011-V,2010,1,,"MARAN, 28100","MARAN, PAHANG"
C00626,MARAN,CA 0119830-T,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00627,CHENOR,CT0039012-K,2018,4,,"MARAN, 28100","MARAN, PAHANG"
C00628,CHENOR,CT0002522-H,2010,4,,"MARAN, 28100","MARAN, PAHANG"
C00629,MARAN,CT 0039231-M,2019,1,,"MARAN, 26500","MARAN, PAHANG"
C00630,MARAN,CA 01265348-P,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00631,MARAN,CT0063320P,2019,1,,"MARAN, 26500","MARAN, PAHANG"
C00632,CHENOR,CT0064499-H,2018,2,,"MARAN, 28100","MARAN, PAHANG"
C00633,MARAN,CT0011683M,2019,1,,"MARAN, 26500","MARAN, PAHANG"
C00634,MARAN,CA 0119254 U,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00635,MARAN,CA 0084557A,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00636,CHENOR,CT0069666-P,2015,2,,"MARAN, 28100","MARAN, PAHANG"
C00637,MARAN,,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00638,MARAN,CT 0066766-P,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00639,MARAN,CA 01178524- U,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00640,MARAN,CA 234769-P,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00641,MARAN,CA 01544686-A,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00642,MARAN,,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00643,CHENOR,CA0095233-V,2010,4,,"MARAN, 28100","MARAN, PAHANG"
C00644,MARAN,CT 0052074-P,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00645,MARAN,CA0278480T,2018,4,,"MARAN, 26500","MARAN, PAHANG"
C00646,MARAN,CT0011495-T,2016,1,,"MARAN, 26500","MARAN, PAHANG"
C00647,MARAN,CA 0292005-M,2017,1,,"MARAN, 26500","MARAN, PAHANG"
C00648,CHENOR,CA0052109-A,2000,4,,"MARAN, 28100","MARAN, PAHANG"
C00649,CHENOR,CT0070545-H,2015,1,,"MARAN, 28100","MARAN, PAHANG"
C00650,CHENOR,CA0135788-W,2014,1,,"MARAN, 28100","MARAN, PAHANG"
C00651,CHENOR,CT0017707-U,2014,1,,"MARAN, 28100","MARAN, PAHANG"
C00652,CHENOR,CT0062736-H,2010,3,,"MARAN, 28100","MARAN, PAHANG"
C00653,CHENOR,CT0069101-D,2020,1,,"MARAN, 28100","MARAN, PAHANG"
C00654,CHENOR,CT0070660-H,2019,1,,"MARAN, 28100","MARAN, PAHANG"
C00655,CHENOR,CT0075139-D,2016,1,,"MARAN, 28100","MARAN, PAHANG"
C00656,CHENOR,CT0066674-T,2019,2,,"MARAN, 28100","MARAN, PAHANG"
C00657,CHENOR,CT0046444-W,2019,4,,"MARAN, 28100","MARAN, PAHANG"
C00658,CHENOR,CT0042842-M,2015,3,,"MARAN, 28100","MARAN, PAHANG"
C00659,CHENOR,CT0008023-V,2011,2,,"MARAN, 28100","MARAN, PAHANG"
C00660,CHENOR,CA0017992-P,2010,1,,"MARAN, 28100","MARAN, PAHANG"
C00661,CHENOR,CT0071327-W,2020,3,,"MARAN, 28100","MARAN, PAHANG"
C00662,CHENOR,CT0086839-M,2015,1,,"MARAN, 28100","MARAN, PAHANG"
C00663,CHENOR,CT0078050-T,2020,1,,"MARAN, 28100","MARAN, PAHANG"
C00664,CHENOR,CA0100931-K,2018,2,,"MARAN, 28100","MARAN, PAHANG"
C00665,CHENOR,CT0069246-P,2019,1,,"MARAN, 28100","MARAN, PAHANG"
C00666,CHENOR,AS0428831-V,2015,3,,"MARAN, 28100","MARAN, PAHANG"
C00667,CHENOR,CT0059607-P,2015,1,,"MARAN, 28100","MARAN, PAHANG"
C00668,CHENOR,CT0073770-H,2020,1,,"MARAN, 28100","MARAN, PAHANG"
C00669,CHENOR,CT0087057-W,2020,1,,"MARAN, 28100","MARAN, PAHANG"
C00670,CHENOR,CT0060706-D,2019,2,,"MARAN, 28100","MARAN, PAHANG"
C00671,CHENOR,CT0079612-V,2020,1,,"MARAN, 28100","MARAN, PAHANG"
C00672,CHENOR,003123155-U,2018,1,,"MARAN, 28100","MARAN, PAHANG"
C00673,MARAN,CT0062391-D,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00674,MARAN,CA 0227212-K,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00675,MARAN,CT0072167-X,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00676,MARAN,CT00632202-V,2019,1,,"MARAN, 26500","MARAN, PAHANG"
C00677,MARAN,CA 0320367-M,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00678,MARAN,CT 0077306-W,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00679,MARAN,CT 0056335-P,2020,3,,"MARAN, 26500","MARAN, PAHANG"
C00680,MARAN,CT 007736546-W,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00681,MARAN,CT 0056158-H,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00682,MARAN,CT 0084656-T,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00683,MARAN,CT 0082403-P,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00684,MARAN,CA 0035926-P,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00685,MARAN,CT 0069259-A,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00686,MARAN,CT0071643-A,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00687,MARAN,CA 00072342-W,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00688,MARAN,CT0065610-X,2020,2,,"MARAN, 26500","MARAN, PAHANG"
C00689,MARAN,CT 0087200-P,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00690,MARAN,MA 0258087-W,2020,1,,"MARAN, 26500","MARAN, PAHANG"
C00691,LOKMAN SABRI,CA0067599-V,,,,"RAUB, 27600","RAUB, PAHANG"
C00692,JALINAN TAPEDIRI 65,CA0274445-T,,,,"RAUB, 27600","RAUB, PAHANG"
C00694,KAMARAZAMAN BIN MOHD NOR,002178649-H,,,,"RAUB, 27660","RAUB, PAHANG"
C00695,KELA INSUDTRY,002933536-A,,,,"RAUB, 27610","RAUB, PAHANG"
C00697,GAMBAS AGRO,CT0069394-H,,,,"RAUB, 27600","RAUB, PAHANG"
C00698,TEMAU MULIA RESOURCES,002414872-V,,,,"RAUB, 27600","RAUB, PAHANG"
C00699,AZALIFF GLOBAL,202003022821 (CA0296276-A),,,,"RAUB, 27610","RAUB, PAHANG"
C00700,SITI NORMARHANA BINTI MOHAMAD,CT0016769,,,,"RAUB, 27610","RAUB, PAHANG"
C00701,AZILA NIZAM ENTERPRISE,CT0032393-H,,,,"RAUB, 27610","RAUB, PAHANG"
C00702,HAJAR TAILOR,CT0068577-D,,,,"RAUB, 27400","RAUB, PAHANG"
C00703,CQUEN ENTERPRISE,CT0061869-D,,,,"RAUB, 27600","RAUB, PAHANG"
C00704,SUHAISAM BIN ABDUL HAMID,CT0004561-M,,,,"RAUB, 27600","RAUB, PAHANG"
C00705,SHAHRULNIZAM BIN ISMAIL,CT00002079-D,,,,"RAUB, 27660","RAUB, PAHANG"
C00706,KHALISAH ENTERPRISE,CU-98010306/2020,,,,"RAUB, 27610","RAUB, PAHANG"
C00707,TOK CIK ENTERPRISE,CA0286187-H,,,,"RAUB, 27630","RAUB, PAHANG"
C00708,SITI SEVEN TRADING,002367747-D,,,,"RAUB, 27660","RAUB, PAHANG"
C00709,DE COCO CREW SDN BHD,1236172-P,,,,"RAUB, 27660","RAUB, PAHANG"
C00710,WANI SAID ENTERPRISE,CT8038517-W,,,,"RAUB, 27600","RAUB, PAHANG"
C00711,TIADA,,,,,"RAUB, 27600","RAUB, PAHANG"
C00712,MRA MOTOR NTERPRISE,CT0088020-U,,,,"RAUB, 27600","RAUB, PAHANG"
C00713,SHAMSUDDIN BIN HAJI HASSAN,CT0045353-M,,,,"RAUB, 27600","RAUB, PAHANG"
C00714,SELEMBAR BATIK ASTURI COLLECTION,CT0068132-M,,,,"RAUB, 27600","RAUB, PAHANG"
C00716,PULAI AGROFARM ENTERPRISE,CT0036787-H,,,,"RAUB, 27660","RAUB, PAHANG"
C00717,AMMS MAJU ENTERPRISE,CT0075754-V,,,,"RAUB, 27620","RAUB, PAHANG"
C00718,MOHAMAD IZWAN BIN MOHAMED YUSUF,2.02E+12,,,,"RAUB, 27600","RAUB, PAHANG"
C00719,NUR SYAZWINA BINTI ZULKOFLI,2.01E+13,,,,"RAUB, 27600","RAUB, PAHANG"
C00720,MADZ ELECTRICAL AND SERVICES,CT0070508-A,,,,"RAUB, 27600","RAUB, PAHANG"
C00721,AZRO MAINTENANCE & SERVICES,002612644-D,,,,"RAUB, 27660","RAUB, PAHANG"
C00722,MAT YASIN BIN WAHAB,CA0280683-X,,,,"RAUB, 27600","RAUB, PAHANG"
C00723,NURUL IDAHAM ENTERPRISE,CT0082285-A,,,,"RAUB, 27610","RAUB, PAHANG"
C00724,NIE DAMIA BAKERY ENTERPRISE,CT0087764-M,,,,"RAUB, 27610","RAUB, PAHANG"
C00725,ADEQ ACU MAJU ENTERPRISE,CT0034956-W,,,,"RAUB, 27600","RAUB, PAHANG"
C00726,TIADA,,,,,"RAUB, 27600","RAUB, PAHANG"
C00727,HASIM BIN MAT SAH,CT0087838/V,,,,"RAUB, 27600","RAUB, PAHANG"
C00728,HIRZIE & HILFIE ENTERPRISE,PG0374387-T,,,,"RAUB, 27600","RAUB, PAHANG"
C00729,HANAHSIAH ENTERPRISE,CT0079391-H,,,,"RAUB, 27600","RAUB, PAHANG"
C00733,SFI IMPERIAL EBTERPRISE,CA0095719-A,,,,27600,PAHANG
C00734,KIOSK DSUNGAI BATU MALIM,CT0066895-P,,,,27610,PAHANG
C00735,MUHD FIRDAUS TRADING,001745900-H,,,,27600,PAHANG
C00737,,,,,,,"PAHANG, PAHANG"
C00740,ABD MANAF BIN BEDU,CA0029472-K,2015,2,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
C00741,BEE NATION ENTERPRISE,002675281-H,2017,2,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00742,BASIRUN BAKRI ENTERPRISE,CT0067703-U,2020,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00743,ROMELAH DODOL,,2016,2,,"TEMERLOH, 28400","TEMERLOH, PAHANG"
C00744,GLORY VINTAGE GARAGE,CT0048368-X,2018,0,,"TEMERLOH, 28400","TEMERLOH, PAHANG"
C00745,REZQI IKS ENTERPRISE,,2020,3,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00746,AAN MAJU TRADING,CT0010724-K,2020,3,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
C00747,IENA COLLECTION,CA0099617-W,2013,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00748,TIADA,,2013,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00749,TIADA,,2015,2,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00750,AL AUTOWORKSHOP,,2018,0,,"TEMERLOH, 28010","TEMERLOH, PAHANG"
C00751,BAKERY ZYRUL,,2016,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00752,AHMAD FUAD BIN MOHAMED SUDIN,,2020,2,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00753,RATOO ANGGERIK,,2020,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00754,KAMAL AGRO ENTERPRISE,CA0237473-M,2016,0,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
C00755,EMPAYAR PATIN MADU ENTERPRISE,CT0054435-V,2020,2,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00756,PATIN SERVICES,CT0041856-X,2017,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00757,TIADA,,2017,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00758,TIADA,,2017,0,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
C00759,TIADA,,2020,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00760,TIADA,,2018,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00761,SYARIL RESOURCES,SA0120884-P,2020,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00762,TIADA,,2017,0,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
C00763,"HALIMAH TRADISIONAL ENTERPRISE
",CT0024999-P,2018,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00764,PROGRESS LAND ENTERPRISE,CT0036928-H,2016,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00765,ANEY WORKSHOP,CA0050462-H,2016,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00766,LAZIZ DISTRIBUTION PLT,LLP0006875-LGN,2020,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00767,TIADA,,2016,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00768,TIADA,,2016,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00769,TIADA,,2017,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00770,SATAR IKAN LANCHANG,CT0069635-P,2020,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00771,TIADA,,2015,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00772,Z & L MAKMUR ENTERPRISE,CT003608-X,2020,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00773,TIADA,,2018,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00774,NISA FASHION N ART,CT0018537-A,2014,0,,"TEMERLOH, 28400","TEMERLOH, PAHANG"
C00775,LTWO ENTERPRISE,CT0028429-K,2016,4,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00776,MANJA LINA HAND MADE,CT0006231-M,2020,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00777,HASMAH BT HUSSIN,,2018,2,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00778,POK DEE ENTERPRISE,CT0039761-A,2019,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00779,TIADA,,2015,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00780,HATIJAH BINTI ISMAIL,CT0057758-P,2013,1,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00781,TIADA,,2016,2,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00782,TIADA,,2016,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00783,TIADA,,2020,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00784,CINDERELLA ENTERPRISE,CA0092391-X,2018,1,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00785,HIJAU RIMBUN ENTERPRISE,CT0041657-M,2016,1,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00786,TIADA,,2018,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00787,JAH KEK ENTERPRISE,CT0003473-P,2016,0,,"TEMERLOH, 28010","TEMERLOH, PAHANG"
C00788,KHIROLAZUAN ENTERPRISE,CT0000886-W,2016,0,,"MARAN, 28100","MARAN, PAHANG"
C00789,TIADA,,2017,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00790,TIADA,,2016,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00791,SOKMEK AGRO FARM,CT0068757-A,2020,4,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00792,DZAKIRAH ENTERPRISE,CT0064008-U,2015,2,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00793,HM FAMILY ENTERPRISE,CT005470-P,2018,0,,"TEMERLOH, 28400","TEMERLOH, PAHANG"
C00794,HAPIZAH BINTI HASAN,CA0157822-T,2011,2,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
C00795,AL ALUSI TRADING,CA0153271-X,2020,3,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00796,SAKURA BIRU ENTERPRISE,CT00057580-D,2019,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00797,MEGA PRIMA ADVERTISING,CT0029420-W,2020,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00798,SINAR MUTIARA RESOURCES,CT0049535-T,2018,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00799,TIADA,,2014,1,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
C00800,MAZHAN FARM,CT0008978-P,2017,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00801,TIADA,,2020,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00802,AWAS TRADING,CT0035385-A,2017,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00803,MOHAMAD BIN SETAFAR,CT0042079-H,2016,2,,"TEMERLOH, 28010","TEMERLOH, PAHANG"
C00804,MOHD FARISYAM NAZLIN BIN MUSTAFA,CT0067696-W,2018,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00805,FARZRIN MUSTAFA TRADING,CT0040249-H,2015,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00806,AMANI PRODUCT ENTERPRISE,CT0035033-P,2020,3,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00807,PERNIAGAAN PAK CU MI,CA0123036-M,2018,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00808,JAY AUTO WORK,CA0138036-P,2016,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00809,TIADA,,2017,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00810,TIADA,,2016,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00811,ARM MAN ENTERPRISE,CT0003232-P,2020,0,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
C00812,TIADA,,2018,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00813,MIFTAHUL FALAH ENTERPRISE,CT0005193-H,2017,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00814,MOHD SAID B MAT,CT0031379-V,2020,0,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
C00815,MAKMIEN JO ENTERPRISE,CT0022792-K,2017,0,,"TEMERLOH, 28400","TEMERLOH, PAHANG"
C00816,TIADA,,2020,0,,"TEMERLOH, 28400","TEMERLOH, PAHANG"
C00818,AZRINI CHILIES FARM,CT0069036-P,2020,0,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
C00819,,CT0000959-P,,,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00820,MOHD FAHMI BIN ROSLI,CT0062696-D,2020,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00821,MOHD HAFIZI B ABDUL RAHIM,CT0061900-X,2020,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00822,LNN BERKAT ENTERPRISE,CT0061388-M,2020,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00823,MUMU KELULUT ENTERPRISE,CT0056171-D,2020,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00824,KELUBI MUMTAZ ENTERPRISE,CT0045929-D,2017,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00825,TIADA,,2013,0,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00826,SYAFIQ RAZALI ENTERPRISE,CT0065356-A,2020,0,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00827,WAN BANGAU PARIT ENTERPRISE,CT0053292-H,2020,1,,"TEMERLOH, 28000","TEMERLOH, PAHANG"
C00828,RR ONE PROCESSING ENTERPRISE,CT0036971-V,2015,0,,"TEMERLOH, 28400","TEMERLOH, PAHANG"
C00829,DALLES ENTERPRISE,CTOO67236-A,2020,2,,"TEMERLOH, 28500","TEMERLOH, PAHANG"
C00830,AIMIE ENTERPRISE,CT0063261-W,2013,0,,"TEMERLOH, 28050","TEMERLOH, PAHANG"
